algorithm,data_size,iterations,key_size,avg_cpu,avg_time,avg_ram
AESEncryption,10mb_text_data_faker,2,128,-7.0,0.08845043182373047,0.14999999999999858
AESEncryption,1mb_text_data_faker,2,128,12.5,0.012008309364318848,0.04999999999999716
AESEncryption,20mb_text_data_faker,2,128,35.6,0.17226672172546387,0.10000000000000142
AESEncryption,2mb_text_data_faker,2,128,4.200000000000003,0.023409128189086914,0.0
AESEncryption,50mb_text_data_faker,2,128,0.49999999999999645,0.4528770446777344,0.3500000000000014
AESEncryption,5mb_text_data_faker,2,128,-4.200000000000003,0.04698324203491211,-0.04999999999999716
AESEncryption,10mb_text_data_faker,2,192,35.4,0.09094619750976562,0.19999999999999574
AESEncryption,1mb_text_data_faker,2,192,25.0,0.013415336608886719,0.0
AESEncryption,20mb_text_data_faker,2,192,37.25,0.24607479572296143,0.14999999999999858
AESEncryption,2mb_text_data_faker,2,192,50.0,0.028141379356384277,0.0
AESEncryption,50mb_text_data_faker,2,192,-13.399999999999999,0.8983100652694702,0.3999999999999986
AESEncryption,5mb_text_data_faker,2,192,29.15,0.050498127937316895,0.04999999999999716
AESEncryption,10mb_text_data_faker,2,256,-28.35,0.0931854248046875,0.05000000000000426
AESEncryption,1mb_text_data_faker,2,256,12.5,0.014346480369567871,0.0
AESEncryption,20mb_text_data_faker,2,256,18.75,0.1578272581100464,0.10000000000000142
AESEncryption,2mb_text_data_faker,2,256,25.0,0.019348978996276855,0.0
AESEncryption,50mb_text_data_faker,2,256,6.25,0.41047441959381104,0.44999999999999574
AESEncryption,5mb_text_data_faker,2,256,9.299999999999999,0.04015767574310303,0.04999999999999716
DESEncryption,10mb_text_data_faker,2,64,-2.9499999999999957,0.42244529724121094,0.25
DESEncryption,1mb_text_data_faker,2,64,18.75,0.03271222114562988,0.0
DESEncryption,20mb_text_data_faker,2,64,25.3,0.5155820846557617,0.14999999999999858
DESEncryption,2mb_text_data_faker,2,64,45.85,0.052283525466918945,0.0
DESEncryption,50mb_text_data_faker,2,64,38.5,1.3569990396499634,0.20000000000000284
DESEncryption,5mb_text_data_faker,2,64,-8.350000000000001,0.12534642219543457,0.05000000000000426
DES3Encryption,10mb_text_data_faker,2,128,32.4,0.6236793994903564,0.15000000000000568
DES3Encryption,1mb_text_data_faker,2,128,25.0,0.06170618534088135,-0.05000000000000426
DES3Encryption,20mb_text_data_faker,2,128,-7.150000000000002,1.2171247005462646,0.14999999999999858
DES3Encryption,2mb_text_data_faker,2,128,18.85,0.12013471126556396,0.0
DES3Encryption,50mb_text_data_faker,2,128,-5.75,2.9491173028945923,-0.19999999999999574
DES3Encryption,5mb_text_data_faker,2,128,29.549999999999997,0.2985488176345825,0.0
DES3Encryption,10mb_text_data_faker,2,192,-13.350000000000001,0.611161470413208,0.20000000000000284
DES3Encryption,1mb_text_data_faker,2,192,43.35,0.08765065670013428,0.04999999999999716
DES3Encryption,20mb_text_data_faker,2,192,-1.0999999999999979,1.2399680614471436,0.14999999999999858
DES3Encryption,2mb_text_data_faker,2,192,15.649999999999999,0.13300764560699463,0.05000000000000426
DES3Encryption,50mb_text_data_faker,2,192,19.550000000000004,3.1167354583740234,0.3999999999999986
DES3Encryption,5mb_text_data_faker,2,192,-0.6000000000000014,0.31816041469573975,0.04999999999999716
RC2Encryption,10mb_text_data_faker,2,40,13.649999999999999,0.4312715530395508,0.05000000000000426
RC2Encryption,1mb_text_data_faker,2,40,50.0,0.04381060600280762,0.0
RC2Encryption,20mb_text_data_faker,2,40,9.95,0.8671612739562988,0.14999999999999858
RC2Encryption,2mb_text_data_faker,2,40,65.85,0.08475053310394287,0.0
