algorithm,operation,key_size,file_name,time_taken
AES,encryption,16,10mb_text_data_faker.txt,0.0769965648651123
AES,decryption,16,10mb_text_data_faker.txt,0.07901668548583984
AES,encryption,24,10mb_text_data_faker.txt,0.09499907493591309
AES,decryption,24,10mb_text_data_faker.txt,0.08200287818908691
AES,encryption,32,10mb_text_data_faker.txt,0.08597612380981445
AES,decryption,32,10mb_text_data_faker.txt,0.09299111366271973
DES,encryption,8,10mb_text_data_faker.txt,0.26400065422058105
DES,decryption,8,10mb_text_data_faker.txt,0.2609996795654297
3DES,encryption,16,10mb_text_data_faker.txt,0.5999972820281982
3DES,decryption,16,10mb_text_data_faker.txt,0.6199944019317627
3DES,encryption,24,10mb_text_data_faker.txt,0.6589987277984619
3DES,decryption,24,10mb_text_data_faker.txt,0.6999959945678711
RC2,encryption,5,10mb_text_data_faker.txt,0.5079910755157471
RC2,decryption,5,10mb_text_data_faker.txt,0.32099461555480957
RC2,encryption,8,10mb_text_data_faker.txt,0.42400598526000977
RC2,decryption,8,10mb_text_data_faker.txt,0.2880229949951172
RC2,encryption,16,10mb_text_data_faker.txt,0.40497660636901855
RC2,decryption,16,10mb_text_data_faker.txt,0.2900059223175049
RC4,encryption,5,10mb_text_data_faker.txt,0.1230018138885498
RC4,decryption,5,10mb_text_data_faker.txt,0.11899185180664062
RC4,encryption,8,10mb_text_data_faker.txt,0.13899850845336914
RC4,decryption,8,10mb_text_data_faker.txt,0.11899423599243164
RC4,encryption,16,10mb_text_data_faker.txt,0.1250019073486328
RC4,decryption,16,10mb_text_data_faker.txt,0.11898660659790039
Blowfish,encryption,4,10mb_text_data_faker.txt,0.24199652671813965
Blowfish,decryption,4,10mb_text_data_faker.txt,0.21799039840698242
Blowfish,encryption,8,10mb_text_data_faker.txt,0.4379994869232178
Blowfish,decryption,8,10mb_text_data_faker.txt,0.21702075004577637
Blowfish,encryption,16,10mb_text_data_faker.txt,0.308971643447876
Blowfish,decryption,16,10mb_text_data_faker.txt,0.1889955997467041
Blowfish,encryption,24,10mb_text_data_faker.txt,0.3059980869293213
Blowfish,decryption,24,10mb_text_data_faker.txt,0.2039952278137207
Blowfish,encryption,32,10mb_text_data_faker.txt,0.23299932479858398
Blowfish,decryption,32,10mb_text_data_faker.txt,0.19900083541870117
AES,encryption,16,1mb_text_data_faker.txt,0.009999275207519531
AES,decryption,16,1mb_text_data_faker.txt,0.01198124885559082
AES,encryption,24,1mb_text_data_faker.txt,0.012003898620605469
AES,decryption,24,1mb_text_data_faker.txt,0.012993335723876953
AES,encryption,32,1mb_text_data_faker.txt,0.014997482299804688
AES,decryption,32,1mb_text_data_faker.txt,0.012995719909667969
DES,encryption,8,1mb_text_data_faker.txt,0.03400087356567383
DES,decryption,8,1mb_text_data_faker.txt,0.03199315071105957
3DES,encryption,16,1mb_text_data_faker.txt,0.06599950790405273
3DES,decryption,16,1mb_text_data_faker.txt,0.061040401458740234
3DES,encryption,24,1mb_text_data_faker.txt,0.0659947395324707
3DES,decryption,24,1mb_text_data_faker.txt,0.07497525215148926
RC2,encryption,5,1mb_text_data_faker.txt,0.04899764060974121
RC2,decryption,5,1mb_text_data_faker.txt,0.02700042724609375
RC2,encryption,8,1mb_text_data_faker.txt,0.037994384765625
RC2,decryption,8,1mb_text_data_faker.txt,0.033002614974975586
RC2,encryption,16,1mb_text_data_faker.txt,0.03798818588256836
RC2,decryption,16,1mb_text_data_faker.txt,0.024001359939575195
RC4,encryption,5,1mb_text_data_faker.txt,0.01200103759765625
RC4,decryption,5,1mb_text_data_faker.txt,0.01101231575012207
RC4,encryption,8,1mb_text_data_faker.txt,0.011996746063232422
RC4,decryption,8,1mb_text_data_faker.txt,0.010998725891113281
RC4,encryption,16,1mb_text_data_faker.txt,0.010996818542480469
RC4,decryption,16,1mb_text_data_faker.txt,0.011001348495483398
Blowfish,encryption,4,1mb_text_data_faker.txt,0.02099752426147461
Blowfish,decryption,4,1mb_text_data_faker.txt,0.02100515365600586
Blowfish,encryption,8,1mb_text_data_faker.txt,0.020972013473510742
Blowfish,decryption,8,1mb_text_data_faker.txt,0.02099895477294922
Blowfish,encryption,16,1mb_text_data_faker.txt,0.024993896484375
Blowfish,decryption,16,1mb_text_data_faker.txt,0.020003080368041992
Blowfish,encryption,24,1mb_text_data_faker.txt,0.021024703979492188
Blowfish,decryption,24,1mb_text_data_faker.txt,0.020973920822143555
Blowfish,encryption,32,1mb_text_data_faker.txt,0.021028518676757812
Blowfish,decryption,32,1mb_text_data_faker.txt,0.01899266242980957
AES,encryption,16,20mb_text_data_faker.txt,0.19000029563903809
AES,decryption,16,20mb_text_data_faker.txt,0.16900014877319336
AES,encryption,24,20mb_text_data_faker.txt,0.1789989471435547
AES,decryption,24,20mb_text_data_faker.txt,0.18200087547302246
AES,encryption,32,20mb_text_data_faker.txt,0.16699695587158203
AES,decryption,32,20mb_text_data_faker.txt,0.1650252342224121
DES,encryption,8,20mb_text_data_faker.txt,0.5440013408660889
DES,decryption,8,20mb_text_data_faker.txt,0.5269842147827148
3DES,encryption,16,20mb_text_data_faker.txt,1.590998649597168
3DES,decryption,16,20mb_text_data_faker.txt,1.8840017318725586
3DES,encryption,24,20mb_text_data_faker.txt,1.4499893188476562
3DES,decryption,24,20mb_text_data_faker.txt,1.3559958934783936
RC2,encryption,5,20mb_text_data_faker.txt,0.8879969120025635
RC2,decryption,5,20mb_text_data_faker.txt,1.1060028076171875
RC2,encryption,8,20mb_text_data_faker.txt,1.1639912128448486
RC2,decryption,8,20mb_text_data_faker.txt,0.659003734588623
RC2,encryption,16,20mb_text_data_faker.txt,0.8659963607788086
RC2,decryption,16,20mb_text_data_faker.txt,0.6120026111602783
RC4,encryption,5,20mb_text_data_faker.txt,0.2639932632446289
RC4,decryption,5,20mb_text_data_faker.txt,0.2449955940246582
RC4,encryption,8,20mb_text_data_faker.txt,0.26799488067626953
RC4,decryption,8,20mb_text_data_faker.txt,0.24000072479248047
RC4,encryption,16,20mb_text_data_faker.txt,0.31500744819641113
RC4,decryption,16,20mb_text_data_faker.txt,0.39699506759643555
Blowfish,encryption,4,20mb_text_data_faker.txt,0.47299861907958984
Blowfish,decryption,4,20mb_text_data_faker.txt,0.4609994888305664
Blowfish,encryption,8,20mb_text_data_faker.txt,0.4689972400665283
Blowfish,decryption,8,20mb_text_data_faker.txt,0.45000243186950684
Blowfish,encryption,16,20mb_text_data_faker.txt,0.45899176597595215
Blowfish,decryption,16,20mb_text_data_faker.txt,0.4400017261505127
Blowfish,encryption,24,20mb_text_data_faker.txt,0.45600342750549316
Blowfish,decryption,24,20mb_text_data_faker.txt,0.42699432373046875
Blowfish,encryption,32,20mb_text_data_faker.txt,0.44899988174438477
Blowfish,decryption,32,20mb_text_data_faker.txt,0.43400073051452637
AES,encryption,16,2mb_text_data_faker.txt,0.021003007888793945
AES,decryption,16,2mb_text_data_faker.txt,0.027020931243896484
AES,encryption,24,2mb_text_data_faker.txt,0.021988868713378906
AES,decryption,24,2mb_text_data_faker.txt,0.02700972557067871
AES,encryption,32,2mb_text_data_faker.txt,0.022997379302978516
AES,decryption,32,2mb_text_data_faker.txt,0.02299976348876953
DES,encryption,8,2mb_text_data_faker.txt,0.055999755859375
DES,decryption,8,2mb_text_data_faker.txt,0.06399989128112793
3DES,encryption,16,2mb_text_data_faker.txt,0.1490030288696289
3DES,decryption,16,2mb_text_data_faker.txt,0.1299901008605957
3DES,encryption,24,2mb_text_data_faker.txt,0.13900327682495117
3DES,decryption,24,2mb_text_data_faker.txt,0.246002197265625
RC2,encryption,5,2mb_text_data_faker.txt,0.1389918327331543
RC2,decryption,5,2mb_text_data_faker.txt,0.07900023460388184
RC2,encryption,8,2mb_text_data_faker.txt,0.08899617195129395
RC2,decryption,8,2mb_text_data_faker.txt,0.07500839233398438
RC2,encryption,16,2mb_text_data_faker.txt,0.09199237823486328
RC2,decryption,16,2mb_text_data_faker.txt,0.0520017147064209
RC4,encryption,5,2mb_text_data_faker.txt,0.027995824813842773
RC4,decryption,5,2mb_text_data_faker.txt,0.026004552841186523
RC4,encryption,8,2mb_text_data_faker.txt,0.025007009506225586
RC4,decryption,8,2mb_text_data_faker.txt,0.02200031280517578
RC4,encryption,16,2mb_text_data_faker.txt,0.022994041442871094
RC4,decryption,16,2mb_text_data_faker.txt,0.0230104923248291
Blowfish,encryption,4,2mb_text_data_faker.txt,0.041999101638793945
Blowfish,decryption,4,2mb_text_data_faker.txt,0.0410001277923584
Blowfish,encryption,8,2mb_text_data_faker.txt,0.04599785804748535
Blowfish,decryption,8,2mb_text_data_faker.txt,0.044000864028930664
Blowfish,encryption,16,2mb_text_data_faker.txt,0.04300403594970703
Blowfish,decryption,16,2mb_text_data_faker.txt,0.04699897766113281
Blowfish,encryption,24,2mb_text_data_faker.txt,0.04700422286987305
